"X.1","X","PLT_CN","INVYR.x","FLDTYPCD","ECO_ID","COUNTYCD.x","LON","LAT","STDAGE","AgeGroup","Carbon_Mg_ha","cv_dbh","VPD","Elevation","MAT","MAP","pH_mean","bdod_mean","clay_mean","nitrogen_mean","FDis","PC1.CWM","PC2.CWM","Shade.tolerance.FDis","Drought.tolerance.FDis","WD_mean_add.FDis","LMA.FDis","Nmass.FDis","Pmass.FDis","Leaf.longevity.FDis","Max.height.FDis","Leaf.FDis","Shade.tolerance.CWM","Drought.tolerance.CWM","WD_mean_add.CWM","LMA.CWM","Nmass.CWM","Pmass.CWM","Leaf.longevity.CWM","Max.height.CWM","Leaf.CWM"
11861,1196,"Plot_11861",2020,"Conifer-Broadleaf Mixed Forest",50529,147,-89.895363,31.074529,10,1,26.640390880838,0.620584660219424,0.797177419,92,18.8,1611,52,144.333333333333,251.333333333333,162.666666666667,1.46366322362743,-2.73572789859883,1.77082046647208,0.127718104076768,0.529553900844208,0.375232058699454,0.427623585736984,0.469525773703161,0.108793020676396,0.385991284869996,0.210663678276951,1.01837443023502,2.04041666666667,4.2075,0.48625,0.120593889925422,11.8944292145406,1.03240633556375,24.1007685874845,33.5416666666667,0.791666666666667
11862,1197,"Plot_11862",2006,"Conifer-Broadleaf Mixed Forest",50413,15,-89.892124,33.26145,15,2,10.5135654636615,0.449864204016842,0.747876344,125,16.8,1444,55,147.666666666667,329.666666666667,131.333333333333,1.57981299231951,-2.64929353214355,1.7296688267512,0.260726307138964,0.458644973950539,0.449905105206808,0.550075720645602,0.451372561383132,0.348557818848679,0.425395576368571,0.319004998533668,1.01837443023502,2.11375,4.24666666666667,0.489583333333333,0.116833094739942,11.8339259138981,1.12889710512204,23.6867842365523,32.7916666666667,0.791666666666667
11863,1198,"Plot_11863",2006,"Conifer-Broadleaf Mixed Forest",50413,15,-89.888905,33.482611,59,4,98.3945653178995,0.799115281543146,0.752096774,132,16.6,1442,54.3333333333333,146.666666666667,352.666666666667,126,2.82974458860842,-1.14780591391833,1.21411533393672,0.584434095959836,0.787045820737471,0.637083001885701,1.42367464755312,0.644507491456738,0.573304236367097,0.490382132660373,0.435692699292319,1.34674822610671,2.19928571428571,3.66642857142857,0.490714285714286,0.11336615961599,15.9999797113834,1.31177043240048,13.2428428463828,28.7857142857143,0.321428571428571
11864,1199,"Plot_11864",2022,"Conifer-Broadleaf Mixed Forest",50413,89,-89.87871,32.567947,81,5,41.340027425689,0.869756702446416,0.784596774,87,17.4,1393,55,150.333333333333,358.666666666667,121,1.76544273516482,-0.0462979082306014,0.229233784014451,0.687007521574282,0.767184534245367,0.866207339485307,0.33199798258482,0.239297062394114,0.177699777101028,0.145338572111021,0.367191895035112,0.32397408774728,2.78759259259259,2.69481481481481,0.516666666666667,0.0705828529064768,16.9963934216354,1.27001148768315,8.47145453363639,24.8888888888889,0.0555555555555556
11865,1200,"Plot_11865",2006,"Conifer-Broadleaf Mixed Forest",50413,121,-89.876132,32.224907,16,2,4.81904567505534,0.405426370396329,0.767634409,145,17.5,1445,52.3333333333333,148,304,124.333333333333,2.09262371809645,-2.29746284512068,1.55661283496595,0.136031116768155,0.909667039746776,0.530178630202214,0.589404808697654,0.534187415999979,0.305018778650218,0.517171367250827,0.405487982247363,1.37212554810613,1.965,3.90333333333333,0.491666666666667,0.11223107686414,12.4437679046407,1.13924856516133,21.7038111098559,33.3333333333333,0.666666666666667
11866,1201,"Plot_11866",2018,"Conifer-Broadleaf Mixed Forest",50413,43,-89.875222,33.82764,58,4,100.795804973149,0.487900455656014,0.766935484,58,16.6,1411,55.3333333333333,147.333333333333,329.666666666667,160,2.07877676570833,-0.392694713975395,0.998710420925729,0.505654867250586,0.694408818316194,0.704316174657363,0.574357851149975,0.426385758756583,0.406166239712741,0.401168165698194,0.5419346882736,0.987930394636411,2.0705,3.443,0.501,0.0719910846373014,15.7918573607958,1.41462283529476,11.4728260200691,25.8,0.2
11867,1202,"Plot_11867",2020,"Conifer-Broadleaf Mixed Forest",50413,121,-89.874687,32.186807,61,4,130.295352260044,0.703457152131511,0.77,134,17.6,1444,53.3333333333333,149.333333333333,267.666666666667,145,2.27018349500281,-0.539724912633736,0.593609308030773,0.660669957965724,0.738375992460307,0.946928285627141,0.426646120038948,0.57666914633011,0.34167392454643,0.410856623615847,0.487590920801581,1.03192913122031,2.66060044893378,3.1600785634119,0.524848484848485,0.0784078505183646,17.3188356524419,1.29257273432897,12.0462654269633,30.1818181818182,0.212121212121212
11868,1203,"Plot_11868",2019,"Conifer-Broadleaf Mixed Forest",50413,121,-89.873629,32.053873,26,2,109.535740857565,0.782945213474565,0.780483871,95,17.7,1454,56.3333333333333,149,357,182.666666666667,2.56378684315511,-1.28672397075908,1.08499996966971,0.611989629254137,0.858299978650146,0.833928835150426,0.671412531857075,0.707386533243427,0.386685982317867,0.596726744934492,0.468992091863789,1.50230737696777,2.43414141414141,3.60250505050505,0.515818181818182,0.0909720651760259,14.9744266063941,1.23268995444749,16.2875953321522,30.5454545454545,0.418181818181818
11869,1204,"Plot_11869",2006,"Conifer-Broadleaf Mixed Forest",50413,65,-89.873256,31.709995,35,3,26.2825345522265,0.595160268870249,0.776666667,147,17.9,1522,53,147.666666666667,249.333333333333,147.666666666667,2.17628858286294,-0.89864052190518,1.20320024818646,0.32065170734981,0.87270968241684,0.336907738011301,0.667336885111336,0.51102820919223,0.345585098261934,0.531295620866045,0.589934388440857,1.32154779306298,1.8951724137931,3.5848275862069,0.479310344827586,0.0814447291347437,14.6743200009405,1.22469665871155,13.9171851664688,26.5172413793103,0.310344827586207
11870,1205,"Plot_11870",2017,"Conifer-Broadleaf Mixed Forest",50413,127,-89.850953,31.93241,42,3,104.168302728402,0.639909266943917,0.78061828,137,17.6,1493,56.6666666666667,148.666666666667,312,145,1.67149606244728,0.174695737602462,-0.144893883258601,0.685868890745038,0.686519108376491,0.605523734128134,0.160132218516667,0.520762333498896,0.431887290008394,0.0838831718967904,0.455945893038269,5.31519273039294e-16,2.66325,2.59425,0.479,0.06490673216412,18.8412568705758,1.43163590489057,7.18257059989864,27.65,0
