"","MAT","MAP","MAT_bin","MAP_bin","MAT_MAP_bin"
"13128",15.1,1154,"1","1","MAT1_MAP1"
"13129",16.8,1366,"2","2","MAT2_MAP2"
"13130",15.2,1153,"1","1","MAT1_MAP1"
"13131",16.1,1309,"2","2","MAT2_MAP2"
"13132",14.6,1127,"1","1","MAT1_MAP1"
"13133",17.2,1383,"2","2","MAT2_MAP2"
"13134",13.5,1065,"1","1","MAT1_MAP1"
"13135",16.3,1323,"2","2","MAT2_MAP2"
"13136",16.8,1369,"2","2","MAT2_MAP2"
"13137",14.1,1127,"1","1","MAT1_MAP1"
"13138",16.9,1373,"2","2","MAT2_MAP2"
"13139",14.8,1156,"1","1","MAT1_MAP1"
"13140",15.1,1183,"1","1","MAT1_MAP1"
"13141",16.8,1371,"2","2","MAT2_MAP2"
"13142",15,1171,"1","1","MAT1_MAP1"
"13143",15.3,1193,"1","1","MAT1_MAP1"
"13144",16.1,1300,"2","2","MAT2_MAP2"
"13145",16.9,1378,"2","2","MAT2_MAP2"
"13146",14.9,1174,"1","1","MAT1_MAP1"
"13147",14.3,1145,"1","1","MAT1_MAP1"
"13148",16.8,1378,"2","2","MAT2_MAP2"
"13149",14.8,1163,"1","1","MAT1_MAP1"
"13150",17,1387,"2","2","MAT2_MAP2"
"13151",16.9,1381,"2","2","MAT2_MAP2"
"13152",13.5,1068,"1","1","MAT1_MAP1"
"13153",15.2,1203,"1","1","MAT1_MAP1"
"13154",14.9,1172,"1","1","MAT1_MAP1"
"13155",15.4,1209,"1","1","MAT1_MAP1"
"13156",16,1287,"2","2","MAT2_MAP2"
"13157",14.4,1113,"1","1","MAT1_MAP1"
"13158",15.5,1218,"1","1","MAT1_MAP1"
"13159",16,1273,"2","2","MAT2_MAP2"
"13160",14.4,1124,"1","1","MAT1_MAP1"
"13161",14.1,1112,"1","1","MAT1_MAP1"
"13162",13.7,1039,"1","1","MAT1_MAP1"
"13163",15,1202,"1","1","MAT1_MAP1"
"13164",14.4,1146,"1","1","MAT1_MAP1"
"13165",13.8,1040,"1","1","MAT1_MAP1"
"13166",14.2,1101,"1","1","MAT1_MAP1"
"13167",16.1,1293,"2","2","MAT2_MAP2"
"13168",14.8,1190,"1","1","MAT1_MAP1"
"13169",15.7,1247,"1","1","MAT1_MAP1"
"13170",15,1199,"1","1","MAT1_MAP1"
"13171",14.7,1180,"1","1","MAT1_MAP1"
"13172",15.9,1271,"2","2","MAT2_MAP2"
"13173",14.5,1165,"1","1","MAT1_MAP1"
"13174",14.9,1197,"1","1","MAT1_MAP1"
"13175",13.9,1069,"1","1","MAT1_MAP1"
"13176",15.4,1230,"1","1","MAT1_MAP1"
"13177",16.3,1319,"2","2","MAT2_MAP2"
"13178",15,1206,"1","1","MAT1_MAP1"
"13179",15.4,1236,"1","1","MAT1_MAP1"
"13180",16.8,1358,"2","2","MAT2_MAP2"
"13181",15.6,1246,"1","1","MAT1_MAP1"
"13182",16.4,1320,"2","2","MAT2_MAP2"
"13183",13.9,1071,"1","1","MAT1_MAP1"
"13184",17,1389,"2","2","MAT2_MAP2"
"13185",14.9,1203,"1","1","MAT1_MAP1"
"13186",15,1208,"1","1","MAT1_MAP1"
"13187",14.7,1196,"1","1","MAT1_MAP1"
"13188",14.6,1136,"1","1","MAT1_MAP1"
"13189",15,1216,"1","1","MAT1_MAP1"
"13190",15.3,1228,"1","1","MAT1_MAP1"
"13191",14.9,1200,"1","1","MAT1_MAP1"
"13192",14.7,1110,"1","1","MAT1_MAP1"
"13193",14.4,1102,"1","1","MAT1_MAP1"
"13194",15.5,1229,"1","1","MAT1_MAP1"
"13195",16.6,1358,"2","2","MAT2_MAP2"
"13196",16,1274,"2","2","MAT2_MAP2"
"13197",15.2,1217,"1","1","MAT1_MAP1"
"13198",14.6,1109,"1","1","MAT1_MAP1"
"13199",14.5,1100,"1","1","MAT1_MAP1"
"13200",15.3,1210,"1","1","MAT1_MAP1"
"13201",15.4,1216,"1","1","MAT1_MAP1"
"13202",14.6,1102,"1","1","MAT1_MAP1"
"13203",16,1266,"2","2","MAT2_MAP2"
"13204",15.8,1233,"1","1","MAT1_MAP1"
"13205",16.6,1350,"2","2","MAT2_MAP2"
"13206",14.7,1061,"1","1","MAT1_MAP1"
"13207",14.8,1073,"1","1","MAT1_MAP1"
"13208",14.5,1047,"1","1","MAT1_MAP1"
"13209",15.7,1217,"1","1","MAT1_MAP1"
"13210",14.4,1038,"1","1","MAT1_MAP1"
"13211",14.3,1022,"1","1","MAT1_MAP1"
"13212",14.3,1034,"1","1","MAT1_MAP1"
"13213",16.4,1302,"2","2","MAT2_MAP2"
"13214",14,1021,"1","1","MAT1_MAP1"
"13215",13.9,1020,"1","1","MAT1_MAP1"
"13216",13.8,1021,"1","1","MAT1_MAP1"
"13217",13.7,1023,"1","1","MAT1_MAP1"
"13218",22.9,2467,"3","3","MAT3_MAP3"
"13219",23.3,2423,"3","3","MAT3_MAP3"
"13220",21.8,2259,"3","3","MAT3_MAP3"
"13221",21.9,2236,"3","3","MAT3_MAP3"
"13222",21.5,2272,"3","3","MAT3_MAP3"
"13223",15.2,2382,"1","3","MAT1_MAP3"
"13224",16,2317,"2","3","MAT2_MAP3"
"13225",21.2,2436,"3","3","MAT3_MAP3"
"13226",21.1,2469,"3","3","MAT3_MAP3"
"13227",20.1,2557,"3","3","MAT3_MAP3"
"13228",16.3,2196,"2","3","MAT2_MAP3"
"13229",20.4,2821,"3","3","MAT3_MAP3"
"13230",20.9,2797,"3","3","MAT3_MAP3"
"13231",21.4,2756,"3","3","MAT3_MAP3"
"13232",20.8,2821,"3","3","MAT3_MAP3"
"13233",14.9,2084,"1","3","MAT1_MAP3"
"13234",14.4,1919,"1","3","MAT1_MAP3"
"13235",19.9,2892,"3","3","MAT3_MAP3"
"13236",20.6,2856,"3","3","MAT3_MAP3"
"13237",20.1,2924,"3","3","MAT3_MAP3"
"13238",13.6,1862,"1","3","MAT1_MAP3"
"13239",19.9,2984,"3","3","MAT3_MAP3"
"13240",20.2,2983,"3","3","MAT3_MAP3"
"13241",21.1,2951,"3","3","MAT3_MAP3"
"13242",19.8,2996,"3","3","MAT3_MAP3"
"13243",20.6,2981,"3","3","MAT3_MAP3"
"13244",20.6,3004,"3","3","MAT3_MAP3"
"13245",21.6,2932,"3","3","MAT3_MAP3"
"13246",16.2,2025,"2","3","MAT2_MAP3"
"13247",16.5,2016,"2","3","MAT2_MAP3"
"13248",14.2,2508,"1","3","MAT1_MAP3"
"13249",16,1921,"2","3","MAT2_MAP3"
"13250",16.1,1874,"2","3","MAT2_MAP3"
"13251",15.6,1885,"1","3","MAT1_MAP3"
"13252",14.5,2204,"1","3","MAT1_MAP3"
"13253",15.5,2005,"1","3","MAT1_MAP3"
"13254",13.9,2402,"1","3","MAT1_MAP3"
"13255",13.6,2229,"1","3","MAT1_MAP3"
"13256",16.5,2247,"2","3","MAT2_MAP3"
"13257",16.6,2197,"2","3","MAT2_MAP3"
"13258",15.4,2388,"1","3","MAT1_MAP3"
"13259",12.1,2796,"1","3","MAT1_MAP3"
"13260",16.3,2182,"2","3","MAT2_MAP3"
"13261",16.9,2372,"2","3","MAT2_MAP3"
"13262",16.2,2493,"2","3","MAT2_MAP3"
"13263",15.3,2167,"1","3","MAT1_MAP3"
"13264",17.5,2361,"2","3","MAT2_MAP3"
"13265",16.2,2415,"2","3","MAT2_MAP3"
"13266",16.1,2383,"2","3","MAT2_MAP3"
"13267",16.6,2416,"2","3","MAT2_MAP3"
"13268",15.7,2418,"1","3","MAT1_MAP3"
"13269",16.2,2303,"2","3","MAT2_MAP3"
"13270",16.8,2396,"2","3","MAT2_MAP3"
"13271",10.7,2660,"1","3","MAT1_MAP3"
"13272",16.3,2419,"2","3","MAT2_MAP3"
"13273",14.3,2687,"1","3","MAT1_MAP3"
"13274",16.8,2038,"2","3","MAT2_MAP3"
"13275",15.7,2360,"1","3","MAT1_MAP3"
"13276",16.8,2298,"2","3","MAT2_MAP3"
"13277",16.3,2357,"2","3","MAT2_MAP3"
"13278",14.2,2822,"1","3","MAT1_MAP3"
"13279",16,2373,"2","3","MAT2_MAP3"
"13280",15.8,2379,"1","3","MAT1_MAP3"
"13281",15.8,3194,"1","3","MAT1_MAP3"
"13282",16.6,2502,"2","3","MAT2_MAP3"
"13283",16,2593,"2","3","MAT2_MAP3"
"13284",16.6,2442,"2","3","MAT2_MAP3"
"13285",16,1721,"2","3","MAT2_MAP3"
"13286",16,2503,"2","3","MAT2_MAP3"
"13287",15.2,2060,"1","3","MAT1_MAP3"
"13288",16.8,3187,"2","3","MAT2_MAP3"
"13289",16,2082,"2","3","MAT2_MAP3"
"13290",15.7,2062,"1","3","MAT1_MAP3"
"13291",16.2,1876,"2","3","MAT2_MAP3"
"13292",16.2,2164,"2","3","MAT2_MAP3"
"13293",13.9,2673,"1","3","MAT1_MAP3"
"13294",15.5,2060,"1","3","MAT1_MAP3"
"13295",17.7,2266,"2","3","MAT2_MAP3"
"13296",13.8,2800,"1","3","MAT1_MAP3"
"13297",15,2431,"1","3","MAT1_MAP3"
"13298",12.3,3052,"1","3","MAT1_MAP3"
"13299",11.8,3134,"1","3","MAT1_MAP3"
"13300",14.2,2512,"1","3","MAT1_MAP3"
